MTTF in d
0.0253
0.0244
0.0253
0.0216
0.0267
0.0328
0.0225
0.0291
0.0267
0.0277
0.0323
0.0253
0.0305
0.0277
0.0248
0.0277
0.0216
0.0305
0.0262
0.0244
0.0286
0.0258
0.0244
0.0286
0.0305
0.0220
0.0262
0.0277
0.0244
0.0253
0.0291
0.0234
0.0262
0.0272
0.0267
0.0286
0.0239
0.0239
0.0267
0.0267
0.0286
0.0262
0.0305
0.0234
0.0314
0.0244
0.0244
0.0291
0.0253
0.0300
0.0239
0.0234
0.0234
0.0267
0.0244
0.0295
0.0281
0.0286
0.0272
0.0267
0.0314
0.0286
0.0234
0.0281
0.0291
0.0262
0.0253
0.0291
0.0300
0.0234
0.0244
0.0281
0.0244
0.0291
0.0253
0.0286
0.0272
0.0230
0.0281
0.0328
0.0291
0.0197
0.0281
0.0281
0.0192
0.0305
0.0258
0.0230
0.0305
0.0305
0.0258
0.0281
0.0267
0.0286
0.0305
0.0267
0.0267
0.0286
0.0239
0.0286
0.0244
0.0248
0.0262
0.0258
0.0300
0.0262
0.0281
0.0253
0.0248
0.0253
0.0281
0.0253
0.0262
0.0309
0.0281
0.0272
0.0295
0.0281
0.0300
0.0220
0.0258
0.0272
0.0225
0.0272
0.0300
0.0234
10.0371
9.1166
2.8698
2.4674
2.4442
2.5217
2.4444
2.5613
2.4350
2.0355
2.3251
2.2665
2.3357
1.9791
2.0659
1.9242
1.9889
1.7960
1.8412
1.9141
1.8439
1.9386
1.9501
2.3386
2.1649
2.3831
2.3174
2.3382
2.2290
2.1669
1.7802
1.8799
1.9053
1.8657
1.8912
1.9397
2.1876
2.3452
2.2715
2.2732
2.3742
2.4077
0.0211
0.0375
0.0305
0.0267
0.0342
0.0403
0.0277
0.0281
0.0286
0.0262
0.0281
0.0258
0.0295
0.0309
0.0258
0.0239
0.0234
0.0291
0.0258
0.0300
0.0248
0.0277
0.0394
0.0230
0.0258
0.0248
0.0272
0.0258
0.0244
0.0300
0.0267
0.0234
0.0347
0.0305
0.0234
0.0286
0.0314
0.0230
0.0413
0.0291
0.0277
0.0305
0.0267
0.0211
0.0244
0.0262
0.0267
0.0220
0.0262
0.0295
0.0276
0.0305
0.0267
0.0220
0.0286
0.0300
0.0230
0.0319
0.0277
0.0225
0.0277
0.0258
0.0253
0.0328
0.0286
0.0281
0.0253
0.0281
0.0281
0.0253
0.0276
0.0258
0.0234
0.0262
0.0300
0.0234
0.0262
0.0281
0.0244
0.0319
0.0234
0.0267
0.0305
0.0291
0.0244
0.0286
0.0305
0.0291
