Landwirtsch. Betriebe mit ökologischem Landbau Anzahl
20
70
90
90
100
110
170
200
210
230
260
280
310
320
360
390
420
430
480
490
520
660
670
720
850
1010
1030
1060
1100
1210
1220
1330
1340
1470
1470
1850
1970
2010
2340
2790
2940
2980
3060
3170
5740
6150
6490
18560
19320
26090
