Landwirtsch. Betriebe mit ökologischem Landbau Anzahl
5740
1470
2340
850
1220
1470
2790
2010
520
20
1100
320
430
1030
390
360
210
420
3060
2980
2940
720
230
200
90
70
310
1210
6150
3170
1970
1340
1330
490
480
670
660
280
1060
1010
90
110
100
260
170
26090
18560
19320
6490
1850
