Bodennutzungsarten
Ackerbohnen
Ackerland
Andere Hackfrüchte ohne Saatguterzeugung
Andere Hülsenfrüchte zur Körnergewinnung
Andere Pflanzen zur Ganzpflanzenernte
Andere Ölfrüchte zur Körnergewinnung
Anderes Getreide zur Körnergewinnung
Betriebsfläche
Dinkel
Erbsen
Feldgras/Grasanbau auf dem Ackerland
Gemüse\, Erdbeeren u.a. Gartengewächse
Gerste
Getreide zur Ganzpflanzenernte
Getreide zur Körnergewinnung
Hackfrüchte
Hafer
Handelsgewächse
Handelsgewächse nur zur Energieerzeugung
Hanf
Hartweizen (Durum)
Heil-\, Duft- und Gewürzpflanzen
Heil-\, Duft- und Gewürzpflanzen im Freiland
Heil-\,Duft-\,Gewürzpfl.u.Glas/and.begehb.Schutzabd.
Hopfen
Hülsenfrüchte zur Körnergewinnung
Kartoffeln
Körnermais/Mais zum Ausreifen (einschließlich CCM)
Landwirtschaftlich genutzte Fläche
Leguminosen zur Ganzpflanzenernte
Pflanzen zur Grünernte
Roggen und Wintermenggetreide
Silomais/Grünmais
Sojabohnen
Sommergerste
Sommermenggetreide
Sommerraps\, Winter- und Sommerrübsen
Sommerweizen
Sonnenblumen
Süßlupinen
Triticale
Weitere Handelsgewächse
Weizen
Wintergerste
Winterraps
Winterweizen (einschließlich Dinkel und Einkorn)
Zuckerrüben ohne Saatguterzeugung
Ölfrüchte zur Körnergewinnung
Öllein (Leinsamen)
