Landwirtschaftliche Betriebe Anzahl
255010
251130
187300
155080
117750
115570
8220
5250
1980
35690
32950
100470
83470
34610
26700
1920
29030
1910
133460
8470
90160
47060
58590
2840
44870
26680
22510
2070
21640
8600
5570
2430
5290
2780
52060
47110
43000
500
4730
560
1150
6700
1050
1040
920
210
410
4000
15410
