Landwirtschaftliche Betriebe Anzahl
210
410
500
560
920
1040
1050
1150
1910
1920
1980
2070
2430
2780
2840
4000
4730
5250
5290
5570
6700
8220
8470
8600
15410
21640
22510
26680
26700
29030
32950
34610
35690
43000
44870
47060
47110
52060
58590
83470
90160
100470
115570
117750
133460
155080
187300
251130
255010
