Bodennutzungsarten
Betriebsfläche
Landwirtschaftlich genutzte Fläche
Ackerland
Getreide zur Körnergewinnung
Weizen
Winterweizen (einschließlich Dinkel und Einkorn)
Dinkel
Sommerweizen
Hartweizen (Durum)
Roggen und Wintermenggetreide
Triticale
Gerste
Wintergerste
Sommergerste
Hafer
Sommermenggetreide
Körnermais/Mais zum Ausreifen (einschließlich CCM)
Anderes Getreide zur Körnergewinnung
Pflanzen zur Grünernte
Getreide zur Ganzpflanzenernte
Silomais/Grünmais
Leguminosen zur Ganzpflanzenernte
Feldgras/Grasanbau auf dem Ackerland
Andere Pflanzen zur Ganzpflanzenernte
Hackfrüchte
Kartoffeln
Zuckerrüben ohne Saatguterzeugung
Andere Hackfrüchte ohne Saatguterzeugung
Hülsenfrüchte zur Körnergewinnung
Erbsen
Ackerbohnen
Süßlupinen
Sojabohnen
Andere Hülsenfrüchte zur Körnergewinnung
Handelsgewächse
Ölfrüchte zur Körnergewinnung
Winterraps
Sommerraps\, Winter- und Sommerrübsen
Sonnenblumen
Öllein (Leinsamen)
Andere Ölfrüchte zur Körnergewinnung
Weitere Handelsgewächse
Hopfen
Heil-\, Duft- und Gewürzpflanzen
Heil-\, Duft- und Gewürzpflanzen im Freiland
Heil-\,Duft-\,Gewürzpfl.u.Glas/and.begehb.Schutzabd.
Hanf
Handelsgewächse nur zur Energieerzeugung
Gemüse\, Erdbeeren u.a. Gartengewächse
